"Abbreviation"	"OfficialName"	"Equation"	"subSystem"	"GeneAssociation"	"ValidTarget"	"ValidTarget-test"
"CHRPL"	"Chorismate pyruvate lyase"	"[c] : chor --> 4hbz + pyr"	"Quinone Biosynthesis"		"TRUE"	"FALSE"
"CHTNDA"	"chitin deacetylase"	"[c] : chitin + h2o --> ac + chitos + h"	"Glutamate metabolism"	"YLR307W, YLR308W"	"TRUE"	"FALSE"
"CHTNS"	"chitin synthase"	"[c] : udpacgal --> chitin + h + udp"	"Glutamate metabolism"	"YNL192W, YBR038W, YBR023C"	"TRUE"	"FALSE"
"CITt2r"	"citrate reversible transport via symport"	"cit[e] + h[e] <==> cit[c] + h[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"CITtam"	"citrate transport, mitochondrial"	"cit[c] + mal-L[m] <==> cit[m] + mal-L[c]"	"Transport, Mitochondrial"	"YBR291C"	"TRUE"	"FALSE"
"CITtap"	"citrate/malate antiport into peroxisome"	"cit[x] + mal-L[c] <==> cit[c] + mal-L[x]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"CITtbm"	"citrate transport, mitochondrial"	"cit[c] + pep[m] <==> cit[m] + pep[c]"	"Transport, Mitochondrial"	"YBR291C"	"TRUE"	"FALSE"
"CITtcm"	"citrate transport, mitochondrial"	"cit[c] + icit[m] <==> cit[m] + icit[c]"	"Transport, Mitochondrial"	"YBR291C"	"TRUE"	"FALSE"
"CITtcp"	"citrate/isocitrate antiport into peroxisome"	"cit[c] + icit[x] <==> cit[x] + icit[c]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"CLPNSm_SC"	"cardiolipin synthase, yeast-specific, mitochondrial"	"[m] : (0.01) cdpdag-SC + (0.01) pg-SC --> (0.01) clpn-SC + cmp + h"	"Phospholipid Biosynthesis"	"YDL142C"	"TRUE"	"FALSE"
"CMPN"	"CMP nucleosidase"	"[c] : cmp + h2o --> csn + r5p"	"Nucleotide Salvage Pathway"		"TRUE"	"FALSE"
"CO2t"	"CO2 transporter via diffusion"	"co2[e] <==> co2[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"CO2tg"	"CO2 Golgi transport"	"co2[c] <==> co2[g]"	"Transport, Golgi Apparatus"		"TRUE"	"FALSE"
"CO2tm"	"CO2 transport (diffusion), mitochondrial"	"co2[c] <==> co2[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"CO2tn"	"CO2 nuclear transport via diffusion"	"co2[n] <==> co2[c]"	"Transport, Nuclear"		"TRUE"	"FALSE"
"CO2tp"	"CO2 peroxisomal transport"	"co2[c] <==> co2[x]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"CO2tv"	"CO2 vacuolar transport"	"co2[c] <==> co2[v]"	"Transport, Vacuolar"		"TRUE"	"FALSE"
"COAHLp"	"CoA hydrolase (peroxisomal)"	"[x] : coa + h2o --> (2) h + pan4p + pap"	"Pantothenate and CoA Biosynthesis"	"YLR151C"	"TRUE"	"FALSE"
"COAtim"	"CoA transporter (mitochondrial), irreversible"	"coa[c] --> coa[m]"	"Transport, Mitochondrial"	"YHR002W"	"TRUE"	"FALSE"
"COAtn"	"coenzyme A transport, nuclear"	"coa[c] <==> coa[n]"	"Transport, Nuclear"		"TRUE"	"FALSE"
"COUCOAFm"	"p-coumaroyl-CoA formation"	"[m] : T4hcinnm + atp + coa --> amp + coucoa + ppi"	"Quinone Biosynthesis"		"TRUE"	"FALSE"
"CPPPGO"	"coproporphyrinogen oxidase (O2 required)"	"[c] : cpppg3 + (2) h + o2 --> (2) co2 + (2) h2o + pppg9"	"Porphyrin and Chlorophyll Metabolism"	"YDR044W"	"TRUE"	"FALSE"
"CRNCARtm"	"carnithine-acetylcarnithine carrier, mitochondrial"	"acrn[c] + crn[m] --> acrn[m] + crn[c]"	"Transport, Mitochondrial"	"YOR100C"	"TRUE"	"FALSE"
"CRNCARtp"	"carnitine-acetylcarnitine carrier, peroxisomal"	"acrn[x] + crn[c] --> acrn[c] + crn[x]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"CRNt"	"L-carnitine reversible transport"	"crn[e] <==> crn[c]"	"Transport, Extracellular"	"YBR132C"	"TRUE"	"FALSE"
"CRNtim"	"L-carnitine transport out of mitochondria via diffusion"	"crn[m] --> crn[c]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"CRNtp"	"carnitine transport into peroxsiome"	"crn[c] --> crn[x]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"CSm"	"citrate synthase"	"[m] : accoa + h2o + oaa --> cit + coa + h"	"Citric Acid Cycle"	"YPR001W, YNR001C"	"TRUE"	"FALSE"
"CSNATm"	"carnitine O-aceyltransferase, mitochondrial"	"[m] : acrn + coa <==> accoa + crn"	"Fatty Acid Metabolism"	"YML042W"	"TRUE"	"FALSE"
"CSNATp"	"carnitine O-acetyltransferase, reverse direction, peroxisomal"	"[x] : accoa + crn <==> acrn + coa"	"Fatty Acid Metabolism"	"YML042W"	"TRUE"	"FALSE"
"CSNATr"	"carnitine O-acetyltransferase"	"[c] : accoa + crn <==> acrn + coa"	"Fatty Acid Metabolism"	"YAR035W, YER024W"	"TRUE"	"FALSE"
"CSND"	"Cytosine deaminase"	"[c] : csn + h + h2o --> nh4 + ura"	"Purine and Pyrimidine Biosynthesis"	"YPR062W"	"TRUE"	"FALSE"
"CSNt2"	"cytosine transport in via proton symport"	"csn[e] + h[e] --> csn[c] + h[c]"	"Transport, Extracellular"	"YGL186C, YER060W-A, YER060W, YER056C"	"TRUE"	"FALSE"
"CSp"	"citrate synthase"	"[x] : accoa + h2o + oaa --> cit + coa + h"	"Citric Acid Cycle"	"YCR005C"	"TRUE"	"FALSE"
"CTPS1"	"CTP synthase (NH3)"	"[c] : atp + nh4 + utp --> adp + ctp + (2) h + pi"	"Purine and Pyrimidine Biosynthesis"	"YJR103W, YBL039C"	"TRUE"	"FALSE"
"CTPS2"	"CTP synthase (glutamine)"	"[c] : atp + gln-L + h2o + utp --> adp + ctp + glu-L + (2) h + pi"	"Purine and Pyrimidine Biosynthesis"	"YJR103W, YBL039C"	"TRUE"	"FALSE"
"CTPtm"	"CTP/CMP antiport"	"cmp[m] + ctp[c] + (2) h[c] --> cmp[c] + ctp[m] + (2) h[m]"	"Transport, Mitochondrial"	"YBR192W"	"TRUE"	"FALSE"
"CYOOm"	"cytochrome c oxidase, mitochondrial"	"(4) focytc[m] + (6) h[m] + o2[m] --> (4) ficytc[m] + (6) h[c] + (2) h2o[m]"	"Oxidative Phosphorylation"	"YLR038C+YDL067C+YHR051W+Q0275+Q0250+YGL191W+YGL187C+YLR395C+Q0045+YMR256C+YNL052W, YJR048W, YEL039C, YLR038C+YDL067C+YHR051W+Q0275+Q0250+YGL191W+YGL187C+YLR395C+YIL111W+YMR256C+Q0045"	"TRUE"	"FALSE"
"CYOR_u6m"	"ubiquinol-6 cytochrome c reductase"	"(2) ficytc[m] + (1.5) h[m] + q6h2[m] --> (2) focytc[m] + (1.5) h[c] + q6[m]"	"Oxidative Phosphorylation"	"YJR048W, YEL039C, Q0105+YDR529C+YJL166W+YEL024W+YFR033C+YGR183C+YOR065W+YPR191W+YBL045C+YHR001W-A"	"TRUE"	"FALSE"
"CYSS"	"cysteine synthase"	"[c] : acser + h2s --> ac + cys-L + h"	"Cysteine Metabolism"	"YGR012W"	"TRUE"	"FALSE"
"CYSt2r"	"L-cysteine reversible transport via proton symport"	"cys-L[e] + h[e] <==> cys-L[c] + h[c]"	"Transport, Extracellular"	"YOL020W, YDR508C, YKR039W, YBR068C, YDR046C, YBR069C"	"TRUE"	"FALSE"
"CYSTGL"	"cystathionine g-lyase"	"[c] : cyst-L + h2o --> 2obut + cys-L + nh4"	"Methionine Metabolism"	"YAL012W"	"TRUE"	"FALSE"
"CYSTL"	"cystathionine b-lyase"	"[c] : cyst-L + h2o --> hcys-L + nh4 + pyr"	"Methionine Metabolism"	"YFR055W"	"TRUE"	"FALSE"
"CYSTLp"	"cystathione b-lyase, peroxisomal"	"[x] : cyst-L + h2o --> hcys-L + nh4 + pyr"	"Methionine Metabolism"	"YGL184C"	"TRUE"	"FALSE"
"CYSTRS"	"Cysteinyl-tRNA synthetase"	"[c] : atp + cys-L + trnacys --> amp + cystrna + ppi"	"tRNA charging"	"YNL247W"	"TRUE"	"FALSE"
"CYSTS"	"cystathionine beta-synthase"	"[c] : hcys-L + ser-L --> cyst-L + h2o"	"Glycine and Serine Metabolism"	"YGR155W"	"TRUE"	"FALSE"
"CYSTtp"	"cystathione peroxisomal transport"	"cyst-L[c] <==> cyst-L[x]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"CYTD"	"cytidine deaminase"	"[c] : cytd + h + h2o --> nh4 + uri"	"Purine and Pyrimidine Biosynthesis"	"YLR245C"	"TRUE"	"FALSE"
"CYTDK2"	"cytidine kinase (GTP)"	"[c] : cytd + gtp --> cmp + gdp + h"	"Nucleotide Salvage Pathway"	"YNR012W"	"TRUE"	"FALSE"
"CYTDt2"	"cytidine transport in via proton symport"	"cytd[e] + h[e] --> cytd[c] + h[c]"	"Transport, Extracellular"	"YAL022C"	"TRUE"	"FALSE"
"CYTK1"	"cytidylate kinase (CMP)"	"[c] : atp + cmp <==> adp + cdp"	"Nucleotide Salvage Pathway"		"TRUE"	"FALSE"
"CYTK2"	"cytidylate kinase (dCMP)"	"[c] : atp + dcmp <==> adp + dcdp"	"Nucleotide Salvage Pathway"		"TRUE"	"FALSE"
"D_LACDcm"	"D-lactate dehydrogenase, cytosolic/mitochondrial"	"(2) ficytc[m] + lac-D[c] --> (2) focytc[m] + pyr[c]"	"Alternate Carbon Metabolism"	"YJR048W, YEL039C, YDL174C, YEL071W"	"TRUE"	"FALSE"
"D_LACDm"	"D-lactate dehydrogenase, mitochondrial"	"[m] : (2) ficytc + lac-D --> (2) focytc + pyr"	"Pyruvate Metabolism"	"YJR048W, YDL178W, YEL039C"	"TRUE"	"FALSE"
"D_LACt2"	"D-lactate transport via proton symport"	"h[e] + lac-D[e] <==> h[c] + lac-D[c]"	"Transport, Extracellular"	"YKL217W"	"TRUE"	"FALSE"
"D_LACt2m"	"D-lactate/pyruvate antiport, mitochondrial"	"lac-D[c] + pyr[m] <==> lac-D[m] + pyr[c]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"D_LACtm"	"D-lactate transport, mitochondrial"	"h[c] + lac-D[c] <==> h[m] + lac-D[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"DADA"	"Deoxyadenosine deaminase"	"[c] : dad-2 + h + h2o --> din + nh4"	"Nucleotide Salvage Pathway"	"YNL141W"	"TRUE"	"FALSE"
"DADK"	"deoxyadenylate kinase"	"[c] : atp + damp <==> adp + dadp"	"Nucleotide Salvage Pathway"		"TRUE"	"FALSE"
"DADNt2"	"deoxyadenosine transport in via proton symport"	"dad-2[e] + h[e] --> dad-2[c] + h[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"DADPtn"	"DADP nuclear transport"	"dadp[c] <==> dadp[n]"	"Transport, Nuclear"		"TRUE"	"FALSE"
"DAGCPT_SC"	"diacylglycerol cholinephosphotransferase, yeast-specific"	"[c] : (0.01) 12dgr-SC + cdpchol --> cmp + h + (0.01) pc-SC"	"Phospholipid Biosynthesis"	"YHR123W, YNL130C"	"TRUE"	"FALSE"
"DAGPYP_SC"	"diacylglycerol pyrophosphate phosphatase, yeast-specific"	"[c] : h2o + (0.01) pa-SC --> (0.01) 12dgr-SC + pi"	"Phospholipid Biosynthesis"	"YDR503C, YDR284C"	"TRUE"	"FALSE"
"DANNt2"	"7,8-Diaminononanoate reversible transport via proton symport"	"dann[e] + h[e] <==> dann[c] + h[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"DASYN_SC"	"CDP-Diacylglycerol synthetase, yeast-specific"	"[c] : ctp + h + (0.01) pa-SC <==> (0.01) cdpdag-SC + ppi"	"Phospholipid Biosynthesis"	"YBR029C"	"TRUE"	"FALSE"
"DASYNm_SC"	"CDP-Diacylglycerol synthetase, yeast-specific, mitochondrial"	"[m] : ctp + h + (0.01) pa-SC <==> (0.01) cdpdag-SC + ppi"	"Phospholipid Biosynthesis"	"YBR029C"	"TRUE"	"FALSE"
"DB4PS"	"3,4-Dihydroxy-2-butanone-4-phosphate synthase"	"[c] : ru5p-D --> db4p + for + h"	"Riboflavin Metabolism"	"YDR487C"	"TRUE"	"FALSE"
"DBTSr"	"dethiobiotin synthase"	"[c] : atp + co2 + dann <==> adp + dtbt + (3) h + pi"	"Pantothenate and CoA Biosynthesis"	"YNR057C"	"TRUE"	"FALSE"
"DCDPtn"	"dCDP nuclear transport"	"dcdp[c] <==> dcdp[n]"	"Transport, Nuclear"		"TRUE"	"FALSE"
"DCMPDA"	"dCMP deaminase"	"[c] : dcmp + h + h2o <==> dump + nh4"	"Purine and Pyrimidine Biosynthesis"	"YHR144C"	"TRUE"	"FALSE"
"DCTPD"	"dCTP deaminase"	"[c] : dctp + h + h2o --> dutp + nh4"	"Nucleotide Salvage Pathway"	"YHR144C"	"TRUE"	"FALSE"
"DCYTD"	"deoxycytidine deaminase"	"[c] : dcyt + h + h2o --> duri + nh4"	"Nucleotide Salvage Pathway"	"YLR245C"	"TRUE"	"FALSE"
"DCYTt2"	"deoxycytidine transport in via proton symport"	"dcyt[e] + h[e] --> dcyt[c] + h[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"DDPA"	"3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase"	"[c] : e4p + h2o + pep --> 2dda7p + pi"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"YBR249C, YDR035W"	"TRUE"	"FALSE"
"DDPAm"	"2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase, mitochondrial"	"[m] : e4p + h2o + pep --> 2dda7p + pi"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"YDR035W"	"TRUE"	"FALSE"
"DESAT14"	"Myristicoyl-CoA desaturase (n-C14:0CoA -> n-C14:1CoA)"	"[c] : h + nadph + o2 + tdcoa --> (2) h2o + nadp + tdecoa"	"Fatty Acid  Biosynthesis"		"TRUE"	"FALSE"
"DESAT16"	"Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA)"	"[c] : h + nadph + o2 + pmtcoa --> (2) h2o + hdcoa + nadp"	"Fatty Acid  Biosynthesis"	"YGL055W"	"TRUE"	"FALSE"
"DESAT18"	"stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA)"	"[c] : h + nadph + o2 + stcoa --> (2) h2o + nadp + odecoa"	"Fatty Acid  Biosynthesis"	"YGL055W"	"TRUE"	"FALSE"
"DESAT18_2"	"Oleoyl-CoA desaturase (n-C18:1CoA -> n-C18:2CoA)"	"[c] : h + nadph + o2 + odecoa --> (2) h2o + nadp + ocdycacoa"	"Fatty Acid  Biosynthesis"		"TRUE"	"FALSE"
"DGDPtn"	"dGDP nuclear transport"	"dgdp[c] <==> dgdp[n]"	"Transport, Nuclear"		"TRUE"	"FALSE"
"DGGH"	"alpha-D-glucoside glucohydrase"	"[c] : 6dg + h2o --> gal + glc-D"	"Galactose metabolism"	"YJL221C"	"TRUE"	"FALSE"
"DGK1"	"deoxyguanylate kinase (dGMP:ATP)"	"[c] : atp + dgmp <==> adp + dgdp"	"Purine and Pyrimidine Biosynthesis"	"YDR454C"	"TRUE"	"FALSE"
"DGSNt2"	"deoxyguanosine transport in via proton symport"	"dgsn[e] + h[e] --> dgsn[c] + h[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"DHAD1m"	"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate), mitochondrial"	"[m] : 23dhmb --> 3mob + h2o"	"Valine, Leucine, and Isoleucine Metabolism"	"YJR016C"	"TRUE"	"FALSE"
"DHAD2m"	"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate), mitochondrial"	"[m] : 23dhmp --> 3mop + h2o"	"Valine, Leucine, and Isoleucine Metabolism"	"YJR016C"	"TRUE"	"FALSE"
"DHAK"	"dihydroxyacetone kinase"	"[c] : atp + dha --> adp + dhap + h"	"Glycerolipid Metabolism"	"YFL053W, YML070W"	"TRUE"	"FALSE"
"DHAPtm"	"dihydroxyacetone phosphate transport, mitochondrial"	"dhap[m] --> dhap[c]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"DHFRi"	"dihydrofolate reductase (irreversible)"	"[c] : dhf + h + nadph --> nadp + thf"	"Folate Metabolism"	"YOR236W"	"TRUE"	"FALSE"
"DHFRim"	"dihydrofolate reductase, mitochondrial"	"[m] : dhf + h + nadph --> nadp + thf"	"Folate Metabolism"	"YOR236W"	"TRUE"	"FALSE"
"DHFS"	"dihydrofolate synthase"	"[c] : atp + dhpt + glu-L --> adp + dhf + h + pi"	"Folate Metabolism"		"TRUE"	"FALSE"
"DHFtm"	"dihydrofolate reversible mitochondrial transport"	"dhf[c] <==> dhf[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"DHNPAm"	"dihydroneopterin aldolase"	"[m] : dhnpt --> 2ahhmp + gcald + h"	"Folate Metabolism"	"YNL256W"	"TRUE"	"FALSE"
"DHNPTtm"	"dhnpt mitochondrial transport"	"dhnpt[c] <==> dhnpt[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"DHORD4i"	"dihydoorotic acid (ubiquinone-6), irreversible"	"dhor-S[c] + q6[m] --> orot[c] + q6h2[m]"	"Purine and Pyrimidine Biosynthesis"	"YKL216W"	"TRUE"	"FALSE"
"DHORDfum"	"Fumarate dependent DHORD"	"[c] : dhor-S + fum --> orot + succ"	"Purine and Pyrimidine Biosynthesis"	"YKL216W"	"TRUE"	"FALSE"
"DHORDi"	"dihydoorotic acid dehydrogenase (irreversible)"	"[c] : dhor-S + o2 --> h2o2 + orot"	"Purine and Pyrimidine Biosynthesis"	"YKL216W"	"TRUE"	"FALSE"
"DHORTS"	"dihydroorotase"	"[c] : dhor-S + h2o <==> cbasp + h"	"Purine and Pyrimidine Biosynthesis"	"YJL130C, YLR420W"	"TRUE"	"FALSE"
"DHPSm"	"dihydropteroate synthase, mitochondrial"	"[m] : 2ahhmp + 4abz --> dhpt + h2o"	"Folate Metabolism"	"YNL256W"	"TRUE"	"FALSE"
"DHPTtm"	"Dihydropteroate mitochondrial transport via diffusion"	"dhpt[c] <==> dhpt[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"DHQS"	"3-dehydroquinate synthase"	"[c] : 2dda7p --> 3dhq + pi"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"YDR127W"	"TRUE"	"FALSE"
"DHQTi"	"3-dehydroquinate dehydratase, irreversible"	"[c] : 3dhq --> 3dhsk + h2o"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"YDR127W"	"TRUE"	"FALSE"
"DIAT"	"diamine transaminase"	"[c] : accoa + sprm --> N1sprm + coa + h"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"		"TRUE"	"FALSE"
"DINSt2"	"deoxyinosine transport in via proton symport"	"din[e] + h[e] --> din[c] + h[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"DIPS"	"diphthine synthase"	"[c] : amet + caphis --> ahcys + cmaphis + h"	"Methionine Metabolism"	"YLR172C"	"TRUE"	"FALSE"
"DKMPPD2"	"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction"	"[c] : dkmpp + (3) h2o --> 2kmb + for + (6) h + pi"	"Methionine Metabolism"	"YEL038W, YMR009W"	"TRUE"	"FALSE"
"DMATT"	"dimethylallyltranstransferase"	"[c] : dmpp + ipdp --> grdp + ppi"	"Sterol Metabolism"	"YJL167W"	"TRUE"	"FALSE"
"DNMPPA"	"Dihydroneopterin monophosphate dephosphorylase"	"[c] : dhpmp + h2o --> dhnpt + pi"	"Folate Metabolism"	"YDL100C"	"TRUE"	"FALSE"
"DNTPPA"	"Dihydroneopterin triphosphate pyrophosphatase"	"[c] : ahdt + h2o --> dhpmp + h + ppi"	"Folate Metabolism"		"TRUE"	"FALSE"
"DOLK"	"Dolichol kinase"	"[c] : ctp + dolichol --> cdp + dolp + h"	"Glycoprotein Metabolism"	"YMR013C"	"TRUE"	"FALSE"
"DOLPMMer"	"Dolichyl-phosphate-mannose--protein mannosyltransferase, endoplasmic reticular"	"[r] : dolmanp --> dolp + h + mannan"	"Glycoprotein Metabolism"	"YDL095W, YGR199W, YJR143C, YDL093W, YOR321W, YAL023C"	"TRUE"	"FALSE"
"DOLPMTcer"	"Dolichyl-phosphate D-mannosyltransferase"	"dolp[c] + gdpmann[c] --> dolmanp[r] + gdp[c]"	"Glycoprotein Metabolism"	"YPR183W"	"TRUE"	"FALSE"
"DOLPt2er"	"dolichol phosphate endoplasmic reticular transport via proton symport"	"dolp[c] + h[c] <==> dolp[r] + h[r]"	"Transport, Endoplasmic Reticular"		"TRUE"	"FALSE"
"DPCOAK"	"dephospho-CoA kinase"	"[c] : atp + dpcoa --> adp + coa + h"	"Pantothenate and CoA Biosynthesis"		"TRUE"	"FALSE"
"DPCOAKm"	"dephospho-CoA kinase, mitochondrial"	"[m] : atp + dpcoa --> adp + coa + h"	"Pantothenate and CoA Biosynthesis"		"TRUE"	"FALSE"
"DPGM"	"Diphosphoglyceromutase"	"[c] : 13dpg <==> 23dpg + h"	"Glycolysis/Gluconeogenesis"	"YKL152C"	"TRUE"	"FALSE"
"DPMVD"	"diphosphomevalonate decarboxylase"	"[c] : 5dpmev + atp --> adp + co2 + ipdp + pi"	"Sterol Metabolism"	"YNR043W"	"TRUE"	"FALSE"
"DPR"	"2-dehydropantoate 2-reductase"	"[c] : 2dhp + h + nadph --> nadp + pant-R"	"Pantothenate and CoA Biosynthesis"	"YHR063C"	"TRUE"	"FALSE"
"DPRm"	"2-dehydropantoate 2-reductase, mitochondrial"	"[m] : 2dhp + h + nadph --> nadp + pant-R"	"Pantothenate and CoA Biosynthesis"	"YLR355C"	"TRUE"	"FALSE"
"DRBK"	"Deoxyribokinase"	"[c] : atp + drib --> 2dr5p + adp + h"	"Pentose Phosphate Pathway"	"YCR036W"	"TRUE"	"FALSE"
"DROPPRy"	"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (nadph)"	"[c] : 25dhpp + h + nadph --> 25dthpp + nadp"	"Riboflavin Metabolism"	"YBR153W"	"TRUE"	"FALSE"
"DRTPPD"	"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase"	"[c] : 25dthpp + h + h2o --> 5aprbu + nh4"	"Riboflavin Metabolism"	"YOL066C"	"TRUE"	"FALSE"
"DTMPK"	"dTMP kinase"	"[c] : atp + dtmp <==> adp + dtdp"	"Nucleotide Salvage Pathway"	"YJR057W"	"TRUE"	"FALSE"
"DTTPt"	"dTTP reversible uniport"	"dttp[e] <==> dttp[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"DUMPtn"	"dUMP nuclear transport"	"dump[c] <==> dump[n]"	"Transport, Nuclear"		"TRUE"	"FALSE"
"DURIK1"	"deoxyuridine kinase (ATP:Deoxyuridine)"	"[c] : atp + duri --> adp + dump + h"	"Purine and Pyrimidine Biosynthesis"		"TRUE"	"FALSE"
"DURIPP"	"deoxyuridine phosphorylase"	"[c] : duri + pi <==> 2dr1p + ura"	"Purine and Pyrimidine Biosynthesis"	"YLR209C"	"TRUE"	"FALSE"
"DURIt2"	"deoxyuridine transport in via proton symport"	"duri[e] + h[e] --> duri[c] + h[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"DUTPDP"	"dUTP diphosphatase"	"[c] : dutp + h2o --> dump + h + ppi"	"Purine and Pyrimidine Biosynthesis"	"YBR252W"	"TRUE"	"FALSE"
"DXHPScm"	"deoxyhypusine synthase, cytosolic/mitochondrial"	"h2o[c] + q6[m] + spmd[c] --> 13dampp[c] + 4abutn[c] + q6h2[m]"	"Arginine and Proline Metabolism"	"YHR068W"	"TRUE"	"FALSE"
"E4HGLUtm"	"L-erythro-4-hydroxyglutamate mitochondrial transport via diffusion"	"e4hglu[c] <==> e4hglu[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"E4HGLUtp"	"L-erythro-4-hydroxyglutamate peroxisomal transport via diffusion"	"e4hglu[c] <==> e4hglu[x]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"E4Ptm"	"D-erythrose 4-phosphate mtiochondrial transport via diffusion"	"e4p[c] <==> e4p[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"ECOAH11p"	"3-hydroxyacyl-CoA dehydratase (3-hydroxyhexacosyl-CoA), peroxisomal"	"[x] : h2o + hxc2coa <==> 3hxccoa"	"Fatty Acid Degradation"	"YKR009C"	"TRUE"	"FALSE"
"ECOAH4p"	"3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA), peroxisomal"	"[x] : 3hdcoa <==> dc2coa + h2o"	"Fatty Acid Degradation"	"YKR009C"	"TRUE"	"FALSE"
"ECOAH5p"	"3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA), peroxisomal"	"[x] : 3hddcoa <==> dd2coa + h2o"	"Fatty Acid Degradation"	"YKR009C"	"TRUE"	"FALSE"
"ECOAH6p"	"3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA), peroxisomal"	"[x] : 3htdcoa <==> h2o + td2coa"	"Fatty Acid Degradation"	"YKR009C"	"TRUE"	"FALSE"
"ECOAH7p"	"3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA), peroxisomal"	"[x] : 3hhdcoa <==> h2o + hdd2coa"	"Fatty Acid Degradation"	"YKR009C"	"TRUE"	"FALSE"
"ECOAH8p"	"3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA), peroxisomal"	"[x] : 3hodcoa <==> h2o + od2coa"	"Fatty Acid Degradation"	"YKR009C"	"TRUE"	"FALSE"
"EHGLAT"	"L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase"	"[c] : akg + e4hglu --> 4h2oglt + glu-L"	"Arginine and Proline Metabolism"	"YLR027C"	"TRUE"	"FALSE"
"EHGLATm"	"L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, mitochondrial"	"[m] : akg + e4hglu --> 4h2oglt + glu-L"	"Arginine and Proline Metabolism"	"YKL106W"	"TRUE"	"FALSE"
"EHGLATp"	"L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, peroxisomal"	"[x] : akg + e4hglu --> 4h2oglt + glu-L"	"Arginine and Proline Metabolism"	"YLR027C"	"TRUE"	"FALSE"
"ENO"	"enolase"	"[c] : 2pg <==> h2o + pep"	"Glycolysis/Gluconeogenesis"	"YOR393W, YPL281C, YMR323W, YHR174W, YGR254W"	"TRUE"	"FALSE"
"EPGALURSe"	"Endopolygalacturonase (extracellular)"	"[e] : h2o + pectin --> galur"	"Alternate Carbon Metabolism"	"YJR153W"	"TRUE"	"FALSE"
"EPISTAT_SC"	"Acyl-CoA:episterol acyltransferase, yeast-specific"	"[c] : (0.01) epist + (0.655) hdcoa + (0.01) hexccoa + (0.27) odecoa + (0.02) pmtcoa + (0.03) stcoa + (0.015) tdcoa --> coa + (0.01) epistest-SC"	"Sterol Metabolism"	"YCR048W"	"TRUE"	"FALSE"
"EPISTESTH_SC"	"episterol ester hydrolase, yeast-specific"	"[c] : (0.01) epistest-SC + h2o --> (0.01) epist + h + (0.02) hdca + (0.655) hdcea + (0.01) hexc + (0.03) ocdca + (0.27) ocdcea + (0.015) ttdca"	"Sterol Metabolism"	"YKL140W, YLL012W"	"TRUE"	"FALSE"
